Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Urgent Message,4/7,2025-04-30,Rockhampton,3,407,5.25,M,7,4,$10.00,24.2,"1. Rupee Ranger
2. Chalky's Choice
3. Bev Beach"
Urgent Message,3/7,2025-04-27,Rockhampton,7,407,5.25,M,7,5,$3.80,24.8,"1. Sorrento Beach
2. Koolboo Brookie"
Urgent Message,2/7,2025-04-20,Rockhampton,7,407,7.5,M,7,2,$4.60,24.2,"1. Hacienda Dream
3. Boulder Beach"
Urgent Message,2/7,2025-04-13,Rockhampton,11,407,10.5,M,1,2,$2.62,24,"1. Riding Solo
3. Rosa's Rocks"
Urgent Message,6/6,2025-04-02,Rockhampton,14,407,15.75,M,1,5,$3.40,23.9,"1. Tanned And Taut
2. Dream Design
3. Bev Beach"
Urgent Message,4/8,2025-03-19,Albion Park,N/A,395,8.5,M,6,3,$11.00,23.2,"1. Nando's King
2. Bonnie Royale
3. Daysea's Ziggy"
Emergency Man,5/8,2025-08-20,Rockhampton,10,407,10.75,M,5,1,$5.00,24.3,"1. Miss Bella Blue
2. Urgent Message
3. Dream House"
Emergency Man,6/8,2025-08-10,Rockhampton,7,407,5.75,M,4,4,$4.00,24.3,"1. Boonie's Bell
2. Mustang Beach
3. Run Zulu Run"
Emergency Man,2/8,2025-08-03,Rockhampton,7,407,0.13,M,1,1,$2.45,24.5,"1. Boonie's Baby
3. Sunburnt Buffalo"
Emergency Man,6/8,2025-07-27,Rockhampton,7,407,20,M,4,7,$4.80,24,"1. Precursor
2. Let's Just Dance
3. Boonie's Baby"
Emergency Man,2/6,2025-07-20,Rockhampton,49,407,0.5,M,4,1,$3.90,24.3,"1. Sunburnt Dawn
3. Sunburnt Buffalo"
Emergency Man,2/8,2025-06-01,Rockhampton,7,407,6.5,M,3,1,$11.00,23.9,"1. Ballinger Beach
3. Scotch Rocket"
Emergency Man,3/6,2025-05-25,Rockhampton,N/A,407,9.25,M,4,1,$8.50,23.7,"1. Dish Liquor
2. Rosa's Rocks"
Rosa's Dash,7/8,2025-07-27,Rockhampton,7,407,26.5,M,3,8,$34.00,24,"1. Precursor
2. Let's Just Dance
3. Boonie's Baby"
Rosa's Dash,5/6,2025-07-20,Rockhampton,N/A,407,8.25,M,8,4,$12.00,24.8,"1. Can't Touch Me
2. She's Full On
3. Smoke Stack"
Zabdon Miracle,4/6,2025-08-13,Rockhampton,14,407,7.75,M,7,3,$29.00,24.6,"1. Regal Wolf
2. Miss Bella Blue
3. Miss Senorita"
Zabdon Miracle,8/8,2025-07-30,Capalaba,8,366,11.5,M,2,"5,6",$34.00,20.4,"1. Raging Rhino
2. Glad All Over
3. Maywyn's Mondeo"
Zabdon Miracle,6/7,2025-07-22,Q1 Lakeside,16,390,15,PM,7,"5,6",$23.00,22.3,"1. Lornett Swift
2. Zabdon No Doubt
3. Late Mate"
Zabdon Miracle,7/8,2025-07-06,Capalaba,4,366,15.75,M,7,"5,7",$101.00,19.9,"1. Amanda Lilly
2. Kachina Ripple
3. Around The Twist"
Zabdon Miracle,6/7,2025-07-02,Capalaba,3,366,12.5,M,1,"5,6",$26.00,21,"1. Malipano Beach
2. Zabdon Skippy
3. Zabdon Blondie"
Zabdon Miracle,8/8,2025-06-29,Capalaba,N/A,366,15.25,M,2,"3,6",$61.00,20.2,"1. Mighty Uproar
2. Malipano Beach
3. Amanda Lilly"
Sacha Star,5/6,2025-08-17,Rockhampton,7,407,13.25,M,4,5,$23.00,24,"1. Dozen Nuggets
2. Rosa's Rocks
3. Boonie's Bella"
Sacha Star,8/8,2025-08-10,Rockhampton,14,407,12.25,M,8,8,$101.00,24.3,"1. Boonie's Bell
2. Mustang Beach
3. Run Zulu Run"
Sacha Star,8/8,2025-07-27,Rockhampton,7,407,27,M,5,4,$81.00,24,"1. Precursor
2. Let's Just Dance
3. Boonie's Baby"
Sacha Star,5/6,2025-07-20,Rockhampton,N/A,407,19,M,2,5,$10.00,24.3,"1. Sunburnt Dawn
2. Emergency Man
3. Sunburnt Buffalo"
Morning Daylight,3/8,2025-07-30,Richmond,7,320,3.5,MF,3,"3,3,2",$3.10,18.2,"1. Back Tomorrow
2. Before The Dawn"
Morning Daylight,2/8,2025-07-23,Richmond,5,320,1,MH,8,"2,2,2",$1.95,18.3,"1. Elsa Above
3. Mrs. Buttons"
Morning Daylight,3/8,2025-07-18,Richmond,N/A,320,6.25,M,6,"2,2,4",$1.50,18.2,"1. Unacceptable Nik
2. Tap Out Tiffy"
Tommy's Done,8/8,2025-08-20,Richmond,12,320,13.75,MH,5,"5,5,8",$15.00,18.4,"1. Winsome Jet
2. Bobby Junior
3. Lock Star"
Tommy's Done,6/8,2025-08-08,Richmond,N/A,320,21.25,M,5,"5,5,4",$4.33,18.4,"1. Split Rim
2. Tarawi Brumby
3. Kota Whyte"
She's The Best,4/8,2025-08-17,Richmond,25,401,2.5,M,7,"1,2,4",$71.00,23.3,"1. Tommy's Dawn
2. What's The Story
3. Dreams Come True"
She's The Best,6/8,2025-07-23,Richmond,3,320,8.25,MH,6,"8,8,8",$101.00,18.3,"1. Elsa Above
2. Morning Daylight
3. Mrs. Buttons"
She's The Best,6/8,2025-07-20,Richmond,5,401,11.5,M,8,"5,8,5",$15.00,23,"1. Wangaroa Wally
2. Missile Boy
3. Question This"
She's The Best,4/6,2025-07-15,Gosford,6,388,6.25,M,3,"5,4,4",$13.00,22.5,"1. Jamal Wick
2. Egyptian Queen
3. Rico's Princess"
She's The Best,6/8,2025-07-09,Richmond,8,401,13.5,MH,2,"5,7,7",$18.00,22.5,"1. Magical Ang
2. Winsome Josie
3. Zipping Ruffian"
She's The Best,7/8,2025-07-01,Gosford,6,515,27.25,XM5,7,"4,5,5,7",$101.00,29.6,"1. Why Me
2. White High
3. She's Grooving"
She's The Best,7/8,2025-06-25,Richmond,5,320,8.5,MH,2,"8,8,8",$31.00,18.5,"1. Snapper Head
2. Stephen Witherap
3. My Roadster Boy"
She's The Best,3/7,2025-06-20,Richmond,7,320,6.5,M,8,"2,2,3",$21.00,18.6,"1. Tap Out Rusty
2. Avoca Star"
She's The Best,6/8,2025-06-13,Richmond,58,320,12.25,M,3,"8,8,7",$21.00,18.2,"1. New Surprise
2. Aston Ringgit
3. Shifty Shiloh"
She's The Best,4/8,2025-04-16,Richmond,3,401,12.5,MH,2,"6,7,6",$29.00,22.7,"1. Shaq Keeping
2. Cheetah Moon
3. News At Eight"
She's The Best,3/8,2025-04-13,Richmond,10,401,9.25,M,6,"8,7,3",$22.00,23,"1. Canya Rapid Fire
2. Free Moe Diva"
She's The Best,7/7,2025-04-03,Wentworth Park,4,520,25.25,SH,6,"7,7,6",$41.00,30,"1. Taw Major
2. Honey Badger
3. Vivid Memory"
She's The Best,7/8,2025-03-30,Richmond,5,401,8.25,M,2,"4,7,7",$26.00,23,"1. Zipping Una
2. Motor City Mini
3. Lily Bloom"
She's The Best,3/8,2025-03-25,Gosford,7,515,6.25,M,2,"3,3,3,3",$10.00,29.9,"1. White High
2. Black Tiger"
She's The Best,5/7,2025-03-18,Gosford,7,515,17.5,XM5,7,"6,3,4,4",$81.00,29.3,"1. Unleash Jodi
2. Reiss Royalty
3. Sit In Silence"
She's The Best,4/7,2025-03-11,Gosford,6,515,13,M,7,"7,6,7,4",$29.00,29.8,"1. Why Me
2. White High
3. Zipping Una"
She's The Best,4/7,2025-03-05,Richmond,26,320,10.25,MH,8,"7,7,6",$20.00,18.6,"1. Catch Me Fire
2. Gengar Wave
3. Zipping Mckeon"
She's The Best,3/8,2025-02-07,Richmond,10,320,3.75,M,7,"1,1,1",$26.00,18.5,"1. You Two
2. Double Two"
She's The Best,7/8,2025-01-28,Gosford,7,515,17.75,M,1,"6,6,4,6",$22.00,29.9,"1. Winifred Nora
2. Ultimate Ethics
3. Bound's Missile"
She's The Best,4/6,2025-01-21,Gosford,N/A,388,4.75,M,8,"6,5,4",$2.00,22.6,"1. Edge Of Angel
2. Bullet The Brute
3. Time Lapse"
Infuriate,5/8,2025-08-20,Richmond,N/A,320,13.5,MH,1,"7,7,5",$10.00,18.2,"1. Winsome Rambo
2. What's The Story
3. Phoenix Moon"
Dawn's Boy,6/8,2025-08-20,Richmond,N/A,320,14.25,MH,6,"2,2,6",$22.00,18.3,"1. Cash De Oro
2. Winsome Storm
3. Erina Flash"
Tap Out Tiffy,2/8,2025-08-24,Richmond,4,320,2.25,M,2,"7,7,8",$13.00,18.6,"1. Three Hundred
3. All On Barney"
Tap Out Tiffy,4/8,2025-08-20,Richmond,7,320,7.25,MH,2,"8,8,7",$11.00,18.4,"1. Winsome Jet
2. Bobby Junior
3. Lock Star"
Tap Out Tiffy,5/8,2025-08-13,Richmond,7,320,8.25,M,5,"7,7,7",$14.00,18.2,"1. Summer Dream
2. Three Hundred
3. Blindspot"
Tap Out Tiffy,6/8,2025-08-06,Richmond,3,401,3.25,MH,8,"8,7,7",$34.00,23.1,"1. Mrs. Buttons
2. Club Dozer
3. Maybe Next Week"
Tap Out Tiffy,3/8,2025-08-03,Richmond,4,320,6.75,M,1,"8,8,5",$8.50,18.4,"1. My Harley
2. Maybe Next Week"
Tap Out Tiffy,6/8,2025-07-30,Richmond,7,320,2.5,M,7,"5,5,6",$5.00,18.7,"1. Lizzie Long Legs
2. Phoenix Moon
3. Mccathery"
Tap Out Tiffy,4/8,2025-07-23,Richmond,5,320,3.5,MH,4,"5,5,6",$10.00,18.3,"1. Elsa Above
2. Morning Daylight
3. Mrs. Buttons"
Tap Out Tiffy,2/8,2025-07-18,Richmond,16,320,6,M,5,"3,3,5",$23.00,18.2,"1. Unacceptable Nik
3. Morning Daylight"
Tap Out Tiffy,4/6,2025-07-02,Richmond,7,320,3.25,M,5,"5,5,5",$12.00,18.8,"1. Zipping Bullet
2. Aston Ringgit
3. Senora Riot"
Tap Out Tiffy,8/8,2025-06-25,Richmond,94,320,9.25,MH,4,"5,5,7",$34.00,18.5,"1. Snapper Head
2. Stephen Witherap
3. My Roadster Boy"
